"Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Revolving_Bal_Per_Limit,Avg_Transaction_Value,Churn"
"54,2,42,4,2,3,12217.0,0,1.075,1110,21,0.75,0.0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.0,52.857142857142854,0"
"41,3,28,6,1,2,7768.0,1669,0.797,1051,22,0.833,0.215,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.21485581874356333,47.77272727272727,0"
"59,1,46,4,1,2,14784.0,1374,0.921,1197,23,1.3,0.093,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.0929383116883117,52.04347826086956,0"
"63,1,56,3,3,2,10215.0,1010,0.843,1904,40,1.0,0.099,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,0.09887420460107685,47.6,0"
"44,3,34,5,2,2,10100.0,0,0.525,1052,18,1.571,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.0,58.44444444444444,0"
"47,4,42,6,0,0,4785.0,1362,0.739,1045,38,0.9,0.285,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.2846394984326019,27.5,0"
"53,3,33,3,2,3,2753.0,1811,0.977,1038,25,2.571,0.658,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.6578278241917908,41.52,0"
"53,2,48,2,5,1,2451.0,1690,1.323,1596,26,1.6,0.69,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.689514483884129,61.38461538461539,0"
"41,4,36,4,1,2,8923.0,2517,1.726,1589,24,1.667,0.282,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.2820800179311891,66.20833333333333,0"
"53,2,38,5,2,3,2650.0,1490,1.75,1411,28,1.0,0.562,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.5622641509433962,50.392857142857146,0"
"58,0,49,6,2,2,12555.0,1696,0.519,1291,24,0.714,0.135,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.13508562325766627,53.791666666666664,0"
"55,1,36,4,2,1,3520.0,1914,0.51,1407,43,0.483,0.544,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.54375,32.72093023255814,0"
"55,3,36,6,2,3,3035.0,2298,1.724,1877,37,1.176,0.757,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.757166392092257,50.729729729729726,0"
"42,4,36,2,3,3,15433.0,0,0.865,966,22,1.2,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.0,43.90909090909091,0"
"57,1,49,3,3,2,3672.0,886,1.32,1464,28,0.556,0.241,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.24128540305010893,52.285714285714285,0"
"66,0,56,5,4,3,7882.0,605,1.052,704,16,0.143,0.077,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.07675716823141335,44.0,1"
"45,3,41,2,2,2,32426.0,578,1.042,1109,28,0.474,0.018,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.017825201998396347,39.607142857142854,0"
"51,2,44,4,1,0,6205.0,2204,0.803,1347,28,0.556,0.355,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,0.35519742143432714,48.107142857142854,0"
"50,1,43,3,2,3,17304.0,2517,1.449,1756,33,1.2,0.145,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0.14545769764216365,53.21212121212121,0"
"49,3,37,5,2,1,3906.0,0,1.214,1756,32,1.0,0.0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,54.875,0"
"38,4,28,2,3,3,9830.0,2055,0.977,1042,23,0.917,0.209,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.20905391658189218,45.30434782608695,0"
"49,4,30,3,2,3,34516.0,0,1.621,1444,28,1.333,0.0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0.0,51.57142857142857,0"
"56,2,45,6,2,0,2283.0,1430,2.316,1741,27,0.588,0.626,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.6263688129653964,64.48148148148148,0"
"59,1,52,3,2,2,2548.0,2020,2.357,1719,27,1.7,0.793,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.792778649921507,63.666666666666664,0"
"46,3,40,4,3,3,19458.0,1435,0.787,1217,27,0.8,0.074,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.07374858669955803,45.074074074074076,0"
"52,1,40,5,1,1,4745.0,1227,0.624,1140,40,0.6,0.259,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.2585879873551106,28.5,0"
"52,3,41,6,3,2,2622.0,1549,1.321,1878,30,1.143,0.591,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,0.5907704042715485,62.6,0"
"54,1,40,2,3,1,1438.3,808,0.997,705,19,0.9,0.562,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.561774316901898,37.10526315789474,1"
"66,0,54,3,4,2,3171.0,2179,1.224,1946,38,1.923,0.687,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.6871649321980448,51.21052631578947,0"
"49,2,36,4,2,0,19763.0,2517,0.664,1414,35,0.25,0.127,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.12735920659818853,40.4,0"
"56,2,36,1,3,3,15769.0,0,1.041,602,15,0.364,0.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,40.13333333333333,1"
"49,4,36,6,4,2,3298.0,2200,0.678,1052,32,0.6,0.667,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.667070952092177,32.875,0"
"49,3,36,2,2,0,2802.0,2363,0.75,1295,40,0.6,0.843,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.8433261955745895,32.375,0"
"56,2,50,4,2,3,4458.0,1880,1.107,1424,29,1.417,0.422,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,0.4217137729923733,49.10344827586207,0"
"44,5,35,4,1,2,6273.0,978,2.275,1359,25,1.083,0.156,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.1559062649450024,54.36,0"
"42,2,34,4,4,3,3336.0,1753,0.69,1168,27,1.25,0.525,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.5254796163069544,43.25925925925926,0"
"55,3,47,4,2,3,3436.0,2016,0.901,1097,33,0.833,0.587,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.5867287543655413,33.24242424242424,0"
"48,2,35,2,4,4,34516.0,0,0.763,691,15,0.5,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.0,46.06666666666667,1"
"39,1,33,5,3,3,5926.0,1251,0.944,1316,28,1.154,0.211,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.21110361120485993,47.0,0"
"44,4,32,2,4,2,23957.0,2102,0.997,1276,26,0.733,0.088,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.08774053512543306,49.07692307692308,0"
"53,2,44,4,2,2,14734.0,1634,0.989,1289,23,0.917,0.111,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.11089995927786073,56.04347826086956,0"
"51,4,38,4,1,4,34516.0,1515,0.592,1293,32,0.6,0.044,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,0.043892687449298876,40.40625,0"
"57,2,52,5,3,3,6584.0,1817,0.62,1353,35,0.667,0.276,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.27597205346294046,38.65714285714286,0"
"44,2,20,6,3,3,2084.0,1468,1.004,1132,28,0.556,0.704,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0.7044145873320538,40.42857142857143,0"
"49,2,32,2,2,2,1687.0,1107,1.715,1670,17,2.4,0.656,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.6561944279786603,98.23529411764706,0"
"50,2,38,6,2,2,25300.0,1330,1.072,837,15,2.0,0.053,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.05256916996047431,55.8,0"
"51,4,42,3,2,3,34516.0,1763,1.266,1550,41,1.05,0.051,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.051077761038359024,37.80487804878049,0"
"55,2,42,5,3,3,2216.0,1034,0.758,1540,36,0.286,0.467,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.4666064981949459,42.77777777777778,0"
"54,1,43,4,2,3,2910.0,2030,0.769,1256,21,0.4,0.698,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.697594501718213,59.80952380952381,0"
"42,5,37,6,2,2,22913.0,1528,0.414,1394,35,0.522,0.067,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0.06668703356173351,39.82857142857143,0"
"44,1,35,3,3,3,24312.0,1932,1.312,1341,24,1.182,0.079,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.07946692991115499,55.875,0"
"53,2,36,5,3,2,5272.0,1515,0.857,1289,33,0.435,0.287,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.28736722306525037,39.06060606060606,0"
"44,4,36,6,4,2,7000.0,2517,0.475,1112,23,1.875,0.36,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.3595714285714286,48.34782608695652,0"
"37,3,29,4,4,2,7038.0,1801,0.751,2339,57,0.966,0.256,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0.25589656152316,41.03508771929825,0"
"49,3,30,6,1,2,2536.0,1823,0.703,1468,23,0.353,0.719,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7188485804416404,63.82608695652174,0"
"47,2,38,6,3,2,28904.0,1899,0.85,1334,35,0.4,0.066,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.06570024910047052,38.114285714285714,0"
"47,3,37,4,4,0,8567.0,1695,1.242,1457,41,1.412,0.198,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.19785222364888524,35.53658536585366,0"
"44,1,36,6,2,2,34516.0,1533,0.924,1603,29,0.526,0.044,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.04441418472592421,55.275862068965516,0"
"55,4,45,2,4,3,2158.0,0,0.585,615,12,0.714,0.0,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,0.0,51.25,1"
"59,1,52,2,3,3,10133.0,1417,0.383,1068,20,0.818,0.14,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.13984012631994475,53.4,0"
"53,1,35,5,4,2,34516.0,1219,1.129,1590,27,2.0,0.035,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.035316954455904506,58.888888888888886,0"
"52,2,47,5,3,0,3085.0,1910,0.921,1531,35,0.667,0.619,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.6191247974068071,43.74285714285714,0"
"53,2,35,4,2,1,19040.0,2056,0.607,1212,31,0.722,0.108,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.10798319327731093,39.096774193548384,0"
"43,3,35,5,2,3,4026.0,0,0.483,1237,32,0.6,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0.0,38.65625,0"
"44,3,31,4,3,1,12756.0,837,1.932,1413,14,1.8,0.066,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.06561618062088428,100.92857142857143,0"
"57,2,45,5,3,3,5266.0,0,1.702,1516,29,1.636,0.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,52.275862068965516,0"
"51,2,36,3,2,2,9930.0,0,0.731,1276,21,1.333,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,60.76190476190476,0"
"49,4,38,4,3,0,31302.0,1953,0.875,1564,35,2.182,0.062,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.06239217941345601,44.68571428571428,0"
"45,1,36,4,4,3,6576.0,0,0.579,1465,34,0.619,0.0,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.0,43.088235294117645,0"
"53,0,42,5,4,1,2664.0,2037,0.85,1286,29,0.933,0.765,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.7646396396396397,44.3448275862069,0"
"45,3,28,5,1,2,2535.0,2440,1.705,1312,20,1.222,0.963,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,0.9625246548323472,65.6,0"
"64,1,52,6,4,3,1709.0,895,1.656,1673,32,0.882,0.524,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.5236980690462258,52.28125,0"
"45,3,35,5,4,2,3454.0,1200,0.597,1313,30,0.304,0.347,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.3474232773595831,43.766666666666666,0"
"53,3,35,5,3,2,3789.0,1706,1.047,1609,42,0.68,0.45,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.4502507257851676,38.30952380952381,0"
"56,3,50,3,2,0,9689.0,2250,0.576,1158,19,0.727,0.232,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.23222210754463826,60.94736842105263,0"
"47,2,37,2,3,3,5449.0,1628,0.696,836,18,0.385,0.299,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.29877041659020004,46.44444444444444,1"
"49,3,43,4,4,0,23032.0,1960,0.619,1289,22,1.0,0.085,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.08509899270580062,58.59090909090909,0"
"41,3,34,5,3,3,34516.0,2053,1.034,1487,26,0.733,0.059,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,0.05947966160621161,57.19230769230769,0"
"53,3,34,6,2,2,2940.0,1264,0.562,1259,33,0.5,0.43,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.42993197278911566,38.15151515151515,0"
"44,2,32,3,3,3,3031.0,1879,0.788,1298,15,1.5,0.62,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.6199274166941603,86.53333333333333,0"
"44,3,25,3,3,0,1862.0,0,0.883,1226,34,0.789,0.0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0,36.05882352941177,0"
"43,4,33,2,3,3,8358.0,926,0.762,1566,37,0.542,0.111,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.1107920555156736,42.32432432432432,0"
"53,2,36,6,1,2,34516.0,931,0.828,1022,21,1.1,0.027,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.02697299802989918,48.666666666666664,0"
"44,1,36,5,2,3,14450.0,2440,1.283,1235,30,0.667,0.169,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.16885813148788928,41.166666666666664,0"
"62,1,56,6,0,0,1438.3,0,0.813,1951,44,1.095,0.0,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,0.0,44.34090909090909,0"
"54,4,36,6,3,2,33791.0,1960,0.618,1047,31,0.824,0.058,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.058003610428812406,33.774193548387096,0"
"57,4,39,4,3,0,8466.0,1886,0.56,1342,32,0.391,0.223,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.22277344672808883,41.9375,0"
"42,3,36,5,3,3,15088.0,865,0.939,1107,21,1.625,0.057,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,0.05733032873806999,52.714285714285715,0"
"42,4,36,5,1,2,3263.0,1674,0.588,1251,35,0.346,0.513,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5130248237817959,35.74285714285714,0"
"54,0,36,2,2,2,1494.0,706,1.674,1305,24,3.0,0.473,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.4725568942436412,54.375,0"
"48,3,35,6,1,0,13551.0,1294,0.791,1388,37,1.056,0.095,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.09549110766733082,37.513513513513516,0"
"49,1,36,6,2,2,18886.0,895,1.826,1235,18,1.571,0.047,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.04738960076246956,68.61111111111111,0"
"52,3,48,3,2,0,11976.0,1273,1.024,2089,36,1.118,0.106,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.10629592518370073,58.02777777777778,0"
"50,3,39,4,1,4,9964.0,1559,1.873,1626,25,0.786,0.156,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.15646326776395023,65.04,0"
"49,1,36,4,6,3,24159.0,1196,0.712,1111,24,1.0,0.05,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.049505360321205345,46.291666666666664,0"
"53,2,44,3,2,3,5362.0,1901,0.816,1553,38,1.0,0.355,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.3545318910854159,40.86842105263158,0"
"50,2,36,3,2,2,34516.0,1023,1.004,1064,13,0.625,0.03,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.029638428554873104,81.84615384615384,0"
"55,1,36,4,1,0,3174.0,1951,0.766,1243,29,0.611,0.615,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.6146817895400126,42.86206896551724,0"
"53,1,47,3,2,2,12262.0,1836,1.584,1659,38,1.533,0.15,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.14973087587669223,43.6578947368421,0"
"47,3,41,4,3,3,3788.0,1540,0.566,1594,47,0.382,0.407,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.4065469904963041,33.91489361702128,0"
"55,2,42,2,3,2,34516.0,1527,0.526,1268,42,0.355,0.044,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.04424035230038243,30.19047619047619,0"
"47,3,36,4,2,2,2926.0,0,0.676,1304,24,0.846,0.0,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0,54.333333333333336,0"
"58,4,52,6,1,0,32090.0,0,0.567,1368,30,0.364,0.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,45.6,0"
"53,2,41,3,3,2,11669.0,2227,0.622,720,23,0.353,0.191,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.19084754477675894,31.304347826086957,1"
"52,2,45,3,1,2,13532.0,1300,0.846,1521,29,1.417,0.096,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.09606857818504286,52.44827586206897,0"
"50,1,36,4,2,2,11888.0,2090,0.7,1137,30,0.765,0.176,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0.17580753701211305,37.9,0"
"42,1,36,5,1,2,2393.0,1985,0.788,978,16,0.778,0.83,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.8295027162557459,61.125,0"
"43,4,39,5,1,2,6111.0,2517,0.632,1221,16,2.2,0.412,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,0.4118802160039273,76.3125,0"
"57,4,46,3,2,3,19270.0,1662,1.186,1565,28,1.545,0.086,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0862480539699014,55.892857142857146,0"
"52,1,43,3,1,4,3710.0,2517,1.541,1578,34,0.7,0.678,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.6784366576819407,46.411764705882355,0"
"47,2,37,2,1,3,3235.0,797,0.541,1493,32,1.0,0.246,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.2463678516228748,46.65625,0"
"44,3,38,3,1,0,11749.0,788,0.688,1178,27,0.929,0.067,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.06706953783300706,43.629629629629626,0"
"53,2,36,5,3,2,7753.0,2100,0.839,991,26,0.733,0.271,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2708628917838256,38.11538461538461,0"
"45,4,40,5,1,0,10408.0,1186,1.689,2560,42,1.211,0.114,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.11395080707148347,60.95238095238095,0"
"63,1,36,6,2,3,3967.0,1568,1.236,1657,29,1.231,0.395,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.3952609024451727,57.13793103448276,0"
"39,2,27,4,2,2,6205.0,2517,0.939,1204,19,0.727,0.406,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.4056406124093473,63.36842105263158,0"
"48,5,38,1,3,3,8025.0,0,0.654,673,18,0.8,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,37.388888888888886,1"
"51,1,42,6,2,3,9036.0,2327,0.649,1131,18,0.636,0.258,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.25752545374059316,62.833333333333336,0"
"54,4,34,2,3,2,14926.0,2517,1.996,1576,25,1.5,0.169,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.1686319174594667,63.04,0"
