Univeristy Name,Region,Ist Semester,2nd Semester,3rd Semester,Academic Year
The University of Stirling,Scotland,Sep-14,Jan-15,,2014/2015
The University of Stirling,Scotland,Sep-15,Jan-16,,2015/2016
The University of Stirling,Scotland,Sep-16,Jan-17,,2016/2017
The University of Stirling,Scotland,Sep-17,Jan-18,,2017/2018
The University of Stirling,Scotland,Sep-18,Jan-19,,2018/2019
The University of Stirling,Scotland,Sep-19,Jan-20,,2019/2020
The University of Stirling,Scotland,Sep-20,Jan-21,,2020/2021
The University of Stirling,Scotland,Sep-21,Jan-22,,2021/2022
The University of Stirling,Scotland,Sep-22,Jan-23,,2022/2023
The University of Stirling,Scotland,Sep-23,Jan-24,,2023/2024
The University of Strathclyde,Scotland,Sep-14,Jan-15,,2014/2015
The University of Strathclyde,Scotland,Sep-15,Jan-16,,2015/2016
The University of Strathclyde,Scotland,Sep-16,Jan-17,,2016/2017
The University of Strathclyde,Scotland,Sep-17,Jan-18,,2017/2018
The University of Strathclyde,Scotland,Sep-18,Jan-19,,2018/2019
The University of Strathclyde,Scotland,Sep-19,Jan-20,,2019/2020
The University of Strathclyde,Scotland,Sep-20,Jan-21,,2020/2021
The University of Strathclyde,Scotland,Sep-21,Jan-22,,2021/2022
The University of Strathclyde,Scotland,Sep-22,Jan-23,,2022/2023
The University of Strathclyde,Scotland,Sep-23,Jan-24,,2023/2024
University of the Highlands and Islands,Scotland,Sep-14,Jan-15,,2014/2015
University of the Highlands and Islands,Scotland,Sep-15,Jan-16,,2015/2016
University of the Highlands and Islands,Scotland,Sep-16,Jan-17,,2016/2017
University of the Highlands and Islands,Scotland,Sep-17,Jan-18,,2017/2018
University of the Highlands and Islands,Scotland,Sep-18,Jan-19,,2018/2019
University of the Highlands and Islands,Scotland,Sep-19,Jan-20,,2019/2020
University of the Highlands and Islands,Scotland,Sep-20,Jan-21,,2020/2021
University of the Highlands and Islands,Scotland,Sep-21,Jan-22,,2021/2022
University of the Highlands and Islands,Scotland,Sep-22,Jan-23,,2022/2023
University of the Highlands and Islands,Scotland,Sep-23,Jan-24,,2023/2024
The University of the West of Scotland,Scotland,Sep-14,Jan-15,,2014/2015
The University of the West of Scotland,Scotland,Sep-15,Jan-16,,2015/2016
The University of the West of Scotland,Scotland,Sep-16,Jan-17,,2016/2017
The University of the West of Scotland,Scotland,Sep-17,Jan-18,,2017/2018
The University of the West of Scotland,Scotland,Sep-18,Jan-19,,2018/2019
The University of the West of Scotland,Scotland,Sep-19,Jan-20,,2019/2020
The University of the West of Scotland,Scotland,Sep-20,Jan-21,,2020/2021
The University of the West of Scotland,Scotland,Sep-21,Jan-22,,2021/2022
The University of the West of Scotland,Scotland,Sep-22,Jan-23,,2022/2023
The University of the West of Scotland,Scotland,Sep-23,Jan-24,,2023/2024
